id,CROP_ID,CROP,input_level,SQI_code,PSCL,PSCL_ID,DrainNum,Drain,score,drainage_id,drainage_req_text
1,1,Wheat,1,4,F,3,1,V,10,LI_DR1_TXT3,Fine textures - Drainage level Very Poor
2,1,Wheat,1,4,F,3,2,P,50,LI_DR2_TXT3,Fine textures - Drainage level Poor
3,1,Wheat,1,4,F,3,3,I,90,LI_DR3_TXT3,Fine textures - Drainage level Imperfectly
4,1,Wheat,1,4,F,3,4,M,100,LI_DR4_TXT3,Fine textures - Drainage level Moderately well
5,1,Wheat,1,4,F,3,5,W,100,LI_DR5_TXT3,Fine textures - Drainage level Well
6,1,Wheat,1,4,F,3,6,S,100,LI_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
7,1,Wheat,1,4,F,3,7,E,100,LI_DR7_TXT3,Fine textures - Drainage level Excessive
8,1,Wheat,1,4,M,2,1,V,10,LI_DR1_TXT2,Medium textures - Drainage level Very Poor
9,1,Wheat,1,4,M,2,2,P,50,LI_DR2_TXT2,Medium textures - Drainage level Poor
10,1,Wheat,1,4,M,2,3,I,90,LI_DR3_TXT2,Medium textures - Drainage level Imperfectly
11,1,Wheat,1,4,M,2,4,M,100,LI_DR4_TXT2,Medium textures - Drainage level Moderately well
12,1,Wheat,1,4,M,2,5,W,100,LI_DR5_TXT2,Medium textures - Drainage level Well
13,1,Wheat,1,4,M,2,6,S,100,LI_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
14,1,Wheat,1,4,M,2,7,E,100,LI_DR7_TXT2,Medium textures - Drainage level Excessive
15,1,Wheat,1,4,C,1,1,V,10,LI_DR1_TXT1,Coarse textures - Drainage level Very Poor
16,1,Wheat,1,4,C,1,2,P,50,LI_DR2_TXT1,Coarse textures - Drainage level Poor
17,1,Wheat,1,4,C,1,3,I,90,LI_DR3_TXT1,Coarse textures - Drainage level Imperfectly
18,1,Wheat,1,4,C,1,4,M,100,LI_DR4_TXT1,Coarse textures - Drainage level Moderately well
19,1,Wheat,1,4,C,1,5,W,100,LI_DR5_TXT1,Coarse textures - Drainage level Well
20,1,Wheat,1,4,C,1,6,S,100,LI_DR6_TXT1,Coarse textures - Drainage level Somewhat excessive
21,1,Wheat,1,4,C,1,7,E,100,LI_DR7_TXT1,Coarse textures - Drainage level Excessive
22,1,Wheat,2,4,F,3,1,V,10,II_DR1_TXT3,Fine textures - Drainage level Very Poor
23,1,Wheat,2,4,F,3,2,P,50,II_DR2_TXT3,Fine textures - Drainage level Poor
24,1,Wheat,2,4,F,3,3,I,90,II_DR3_TXT3,Fine textures - Drainage level Imperfectly
25,1,Wheat,2,4,F,3,4,M,100,II_DR4_TXT3,Fine textures - Drainage level Moderately well
26,1,Wheat,2,4,F,3,5,W,100,II_DR5_TXT3,Fine textures - Drainage level Well
27,1,Wheat,2,4,F,3,6,S,100,II_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
28,1,Wheat,2,4,F,3,7,E,100,II_DR7_TXT3,Fine textures - Drainage level Excessive
29,1,Wheat,2,4,M,2,1,V,10,II_DR1_TXT2,Medium textures - Drainage level Very Poor
30,1,Wheat,2,4,M,2,2,P,50,II_DR2_TXT2,Medium textures - Drainage level Poor
31,1,Wheat,2,4,M,2,3,I,90,II_DR3_TXT2,Medium textures - Drainage level Imperfectly
32,1,Wheat,2,4,M,2,4,M,100,II_DR4_TXT2,Medium textures - Drainage level Moderately well
33,1,Wheat,2,4,M,2,5,W,100,II_DR5_TXT2,Medium textures - Drainage level Well
34,1,Wheat,2,4,M,2,6,S,100,II_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
35,1,Wheat,2,4,M,2,7,E,100,II_DR7_TXT2,Medium textures - Drainage level Excessive
36,1,Wheat,2,4,C,1,1,V,10,II_DR1_TXT1,Coarse textures - Drainage level Very Poor
37,1,Wheat,2,4,C,1,2,P,50,II_DR2_TXT1,Coarse textures - Drainage level Poor
38,1,Wheat,2,4,C,1,3,I,90,II_DR3_TXT1,Coarse textures - Drainage level Imperfectly
39,1,Wheat,2,4,C,1,4,M,100,II_DR4_TXT1,Coarse textures - Drainage level Moderately well
40,1,Wheat,2,4,C,1,5,W,100,II_DR5_TXT1,Coarse textures - Drainage level Well
41,1,Wheat,2,4,C,1,6,S,100,II_DR6_TXT1,Coarse textures - Drainage level Somewhat excessive
42,1,Wheat,2,4,C,1,7,E,100,II_DR7_TXT1,Coarse textures - Drainage level Excessive
43,1,Wheat,5,4,F,3,1,V,90,HI_DR1_TXT3,Fine textures - Drainage level Very Poor
44,1,Wheat,5,4,F,3,2,P,100,HI_DR2_TXT3,Fine textures - Drainage level Poor
45,1,Wheat,5,4,F,3,3,I,100,HI_DR3_TXT3,Fine textures - Drainage level Imperfectly
46,1,Wheat,5,4,F,3,4,M,100,HI_DR4_TXT3,Fine textures - Drainage level Moderately well
47,1,Wheat,5,4,F,3,5,W,100,HI_DR5_TXT3,Fine textures - Drainage level Well
48,1,Wheat,5,4,F,3,6,S,100,HI_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
49,1,Wheat,5,4,F,3,7,E,100,HI_DR7_TXT3,Fine textures - Drainage level Excessive
50,1,Wheat,5,4,M,2,1,V,90,HI_DR1_TXT2,Medium textures - Drainage level Very Poor
51,1,Wheat,5,4,M,2,2,P,100,HI_DR2_TXT2,Medium textures - Drainage level Poor
52,1,Wheat,5,4,M,2,3,I,100,HI_DR3_TXT2,Medium textures - Drainage level Imperfectly
53,1,Wheat,5,4,M,2,4,M,100,HI_DR4_TXT2,Medium textures - Drainage level Moderately well
54,1,Wheat,5,4,M,2,5,W,100,HI_DR5_TXT2,Medium textures - Drainage level Well
55,1,Wheat,5,4,M,2,6,S,100,HI_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
56,1,Wheat,5,4,M,2,7,E,100,HI_DR7_TXT2,Medium textures - Drainage level Excessive
57,1,Wheat,5,4,C,1,1,V,90,HI_DR1_TXT1,Coarse textures - Drainage level Very Poor
58,1,Wheat,5,4,C,1,2,P,100,HI_DR2_TXT1,Coarse textures - Drainage level Poor
59,1,Wheat,5,4,C,1,3,I,100,HI_DR3_TXT1,Coarse textures - Drainage level Imperfectly
60,1,Wheat,5,4,C,1,4,M,100,HI_DR4_TXT1,Coarse textures - Drainage level Moderately well
61,1,Wheat,5,4,C,1,5,W,100,HI_DR5_TXT1,Coarse textures - Drainage level Well
62,1,Wheat,5,4,C,1,6,S,100,HI_DR6_TXT1,Coarse textures - Drainage level Somewhat excessive
63,1,Wheat,5,4,C,1,7,E,100,HI_DR7_TXT1,Coarse textures - Drainage level Excessive
64,2,Wetland_Rice,1,4,F,3,1,V,50,LI_DR1_TXT3,Fine textures - Drainage level Very Poor
65,2,Wetland_Rice,1,4,F,3,2,P,90,LI_DR2_TXT3,Fine textures - Drainage level Poor
66,2,Wetland_Rice,1,4,F,3,3,I,100,LI_DR3_TXT3,Fine textures - Drainage level Imperfectly
67,2,Wetland_Rice,1,4,F,3,4,M,100,LI_DR4_TXT3,Fine textures - Drainage level Moderately well
68,2,Wetland_Rice,1,4,F,3,5,W,100,LI_DR5_TXT3,Fine textures - Drainage level Well
69,2,Wetland_Rice,1,4,F,3,6,S,70,LI_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
70,2,Wetland_Rice,1,4,F,3,7,E,10,LI_DR7_TXT3,Fine textures - Drainage level Excessive
71,2,Wetland_Rice,1,4,M,2,1,V,50,LI_DR1_TXT2,Medium textures - Drainage level Very Poor
72,2,Wetland_Rice,1,4,M,2,2,P,90,LI_DR2_TXT2,Medium textures - Drainage level Poor
73,2,Wetland_Rice,1,4,M,2,3,I,100,LI_DR3_TXT2,Medium textures - Drainage level Imperfectly
74,2,Wetland_Rice,1,4,M,2,4,M,100,LI_DR4_TXT2,Medium textures - Drainage level Moderately well
75,2,Wetland_Rice,1,4,M,2,5,W,90,LI_DR5_TXT2,Medium textures - Drainage level Well
76,2,Wetland_Rice,1,4,M,2,6,S,70,LI_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
77,2,Wetland_Rice,1,4,M,2,7,E,10,LI_DR7_TXT2,Medium textures - Drainage level Excessive
78,2,Wetland_Rice,1,4,C,1,1,V,50,LI_DR1_TXT1,Coarse textures - Drainage level Very Poor
79,2,Wetland_Rice,1,4,C,1,2,P,90,LI_DR2_TXT1,Coarse textures - Drainage level Poor
80,2,Wetland_Rice,1,4,C,1,3,I,100,LI_DR3_TXT1,Coarse textures - Drainage level Imperfectly
81,2,Wetland_Rice,1,4,C,1,4,M,90,LI_DR4_TXT1,Coarse textures - Drainage level Moderately well
82,2,Wetland_Rice,1,4,C,1,5,W,70,LI_DR5_TXT1,Coarse textures - Drainage level Well
83,2,Wetland_Rice,1,4,C,1,6,S,50,LI_DR6_TXT1,Coarse textures - Drainage level Somewhat excessive
84,2,Wetland_Rice,1,4,C,1,7,E,10,LI_DR7_TXT1,Coarse textures - Drainage level Excessive
85,2,Wetland_Rice,2,4,F,3,1,V,50,II_DR1_TXT3,Fine textures - Drainage level Very Poor
86,2,Wetland_Rice,2,4,F,3,2,P,90,II_DR2_TXT3,Fine textures - Drainage level Poor
87,2,Wetland_Rice,2,4,F,3,3,I,100,II_DR3_TXT3,Fine textures - Drainage level Imperfectly
88,2,Wetland_Rice,2,4,F,3,4,M,100,II_DR4_TXT3,Fine textures - Drainage level Moderately well
89,2,Wetland_Rice,2,4,F,3,5,W,100,II_DR5_TXT3,Fine textures - Drainage level Well
90,2,Wetland_Rice,2,4,F,3,6,S,70,II_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
91,2,Wetland_Rice,2,4,F,3,7,E,10,II_DR7_TXT3,Fine textures - Drainage level Excessive
92,2,Wetland_Rice,2,4,M,2,1,V,50,II_DR1_TXT2,Medium textures - Drainage level Very Poor
93,2,Wetland_Rice,2,4,M,2,2,P,90,II_DR2_TXT2,Medium textures - Drainage level Poor
94,2,Wetland_Rice,2,4,M,2,3,I,100,II_DR3_TXT2,Medium textures - Drainage level Imperfectly
95,2,Wetland_Rice,2,4,M,2,4,M,100,II_DR4_TXT2,Medium textures - Drainage level Moderately well
96,2,Wetland_Rice,2,4,M,2,5,W,90,II_DR5_TXT2,Medium textures - Drainage level Well
97,2,Wetland_Rice,2,4,M,2,6,S,70,II_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
98,2,Wetland_Rice,2,4,M,2,7,E,10,II_DR7_TXT2,Medium textures - Drainage level Excessive
99,2,Wetland_Rice,2,4,C,1,1,V,50,II_DR1_TXT1,Coarse textures - Drainage level Very Poor
100,2,Wetland_Rice,2,4,C,1,2,P,90,II_DR2_TXT1,Coarse textures - Drainage level Poor
101,2,Wetland_Rice,2,4,C,1,3,I,100,II_DR3_TXT1,Coarse textures - Drainage level Imperfectly
102,2,Wetland_Rice,2,4,C,1,4,M,90,II_DR4_TXT1,Coarse textures - Drainage level Moderately well
103,2,Wetland_Rice,2,4,C,1,5,W,70,II_DR5_TXT1,Coarse textures - Drainage level Well
104,2,Wetland_Rice,2,4,C,1,6,S,50,II_DR6_TXT1,Coarse textures - Drainage level Somewhat excessive
105,2,Wetland_Rice,2,4,C,1,7,E,10,II_DR7_TXT1,Coarse textures - Drainage level Excessive
106,2,Wetland_Rice,5,4,F,3,1,V,100,HI_DR1_TXT3,Fine textures - Drainage level Very Poor
107,2,Wetland_Rice,5,4,F,3,2,P,100,HI_DR2_TXT3,Fine textures - Drainage level Poor
108,2,Wetland_Rice,5,4,F,3,3,I,100,HI_DR3_TXT3,Fine textures - Drainage level Imperfectly
109,2,Wetland_Rice,5,4,F,3,4,M,100,HI_DR4_TXT3,Fine textures - Drainage level Moderately well
110,2,Wetland_Rice,5,4,F,3,5,W,100,HI_DR5_TXT3,Fine textures - Drainage level Well
111,2,Wetland_Rice,5,4,F,3,6,S,70,HI_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
112,2,Wetland_Rice,5,4,F,3,7,E,10,HI_DR7_TXT3,Fine textures - Drainage level Excessive
113,2,Wetland_Rice,5,4,M,2,1,V,100,HI_DR1_TXT2,Medium textures - Drainage level Very Poor
114,2,Wetland_Rice,5,4,M,2,2,P,100,HI_DR2_TXT2,Medium textures - Drainage level Poor
115,2,Wetland_Rice,5,4,M,2,3,I,100,HI_DR3_TXT2,Medium textures - Drainage level Imperfectly
116,2,Wetland_Rice,5,4,M,2,4,M,100,HI_DR4_TXT2,Medium textures - Drainage level Moderately well
117,2,Wetland_Rice,5,4,M,2,5,W,90,HI_DR5_TXT2,Medium textures - Drainage level Well
118,2,Wetland_Rice,5,4,M,2,6,S,70,HI_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
119,2,Wetland_Rice,5,4,M,2,7,E,10,HI_DR7_TXT2,Medium textures - Drainage level Excessive
120,2,Wetland_Rice,5,4,C,1,1,V,100,HI_DR1_TXT1,Coarse textures - Drainage level Very Poor
121,2,Wetland_Rice,5,4,C,1,2,P,100,HI_DR2_TXT1,Coarse textures - Drainage level Poor
122,2,Wetland_Rice,5,4,C,1,3,I,100,HI_DR3_TXT1,Coarse textures - Drainage level Imperfectly
123,2,Wetland_Rice,5,4,C,1,4,M,100,HI_DR4_TXT1,Coarse textures - Drainage level Moderately well
124,2,Wetland_Rice,5,4,C,1,5,W,70,HI_DR5_TXT1,Coarse textures - Drainage level Well
125,2,Wetland_Rice,5,4,C,1,6,S,50,HI_DR6_TXT1,Coarse textures - Drainage level Somewhat excessive
126,2,Wetland_Rice,5,4,C,1,7,E,10,HI_DR7_TXT1,Coarse textures - Drainage level Excessive
127,3,Dryland_Rice,1,4,F,3,1,V,10,LI_DR1_TXT3,Fine textures - Drainage level Very Poor
128,3,Dryland_Rice,1,4,F,3,2,P,50,LI_DR2_TXT3,Fine textures - Drainage level Poor
129,3,Dryland_Rice,1,4,F,3,3,I,90,LI_DR3_TXT3,Fine textures - Drainage level Imperfectly
130,3,Dryland_Rice,1,4,F,3,4,M,100,LI_DR4_TXT3,Fine textures - Drainage level Moderately well
131,3,Dryland_Rice,1,4,F,3,5,W,100,LI_DR5_TXT3,Fine textures - Drainage level Well
132,3,Dryland_Rice,1,4,F,3,6,S,100,LI_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
133,3,Dryland_Rice,1,4,F,3,7,E,100,LI_DR7_TXT3,Fine textures - Drainage level Excessive
134,3,Dryland_Rice,1,4,M,2,1,V,10,LI_DR1_TXT2,Medium textures - Drainage level Very Poor
135,3,Dryland_Rice,1,4,M,2,2,P,50,LI_DR2_TXT2,Medium textures - Drainage level Poor
136,3,Dryland_Rice,1,4,M,2,3,I,90,LI_DR3_TXT2,Medium textures - Drainage level Imperfectly
137,3,Dryland_Rice,1,4,M,2,4,M,100,LI_DR4_TXT2,Medium textures - Drainage level Moderately well
138,3,Dryland_Rice,1,4,M,2,5,W,100,LI_DR5_TXT2,Medium textures - Drainage level Well
139,3,Dryland_Rice,1,4,M,2,6,S,100,LI_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
140,3,Dryland_Rice,1,4,M,2,7,E,100,LI_DR7_TXT2,Medium textures - Drainage level Excessive
141,3,Dryland_Rice,1,4,C,1,1,V,10,LI_DR1_TXT1,Coarse textures - Drainage level Very Poor
142,3,Dryland_Rice,1,4,C,1,2,P,50,LI_DR2_TXT1,Coarse textures - Drainage level Poor
143,3,Dryland_Rice,1,4,C,1,3,I,90,LI_DR3_TXT1,Coarse textures - Drainage level Imperfectly
144,3,Dryland_Rice,1,4,C,1,4,M,100,LI_DR4_TXT1,Coarse textures - Drainage level Moderately well
