id,CROP_ID,CROP,input_level,SQI_code,property,phase_id,phase,score,property_id
1,1,Wheat,1,3,PHASE,1,Stony,75,H_PH01_SQ3_100
2,1,Wheat,1,3,PHASE,2,Lithic,50,H_PH02_SQ3_100
3,1,Wheat,1,3,PHASE,3,Petric,60,H_PH03_SQ3_50
4,1,Wheat,1,3,PHASE,4,Petrocalcic,60,H_PH04_SQ3_50
5,1,Wheat,1,3,PHASE,5,Petrogypsic,60,H_PH05_SQ3_50
6,1,Wheat,1,3,PHASE,6,Petroferric,60,H_PH06_SQ3_50
7,1,Wheat,1,3,PHASE,8,Fragipan,85,H_PH08_SQ3_50
8,1,Wheat,1,3,PHASE,9,Duripan,85,H_PH09_SQ3_50
9,1,Wheat,1,3,PHASE,13,Anthraquic,85,H_PH13_SQ3_100
10,1,Wheat,1,3,PHASE,17,Placic,85,H_PH17_SQ3_50
11,1,Wheat,1,3,PHASE,18,Rudic,75,H_PH18_SQ3_100
12,1,Wheat,1,3,PHASE,20,Skeletic,60,H_PH20_SQ3_50
13,1,Wheat,1,3,PHASE,23,Erosion,100,H_PH23_SQ3_100
14,1,Wheat,1,3,PHASE,25,Gravelly ,60,H_PH25_SQ3_50
15,1,Wheat,1,3,PHASE,26,Concretionary ,60,H_PH26_SQ3_50
16,1,Wheat,1,3,ROOTS,0,Rooting - No information (ROO= 0),100,H_PHROO0_SQ3_100
17,1,Wheat,1,3,ROOTS,1,Rooting - No obstacle  to roots between 0 and 80 cm (ROO=1),100,H_PHROO1_SQ3_100
18,1,Wheat,1,3,ROOTS,2,Rooting - Obstacle to roots between 60 and 80 cm depth (ROO=2),90,H_PHROO2_SQ3_100
19,1,Wheat,1,3,ROOTS,3,Rooting - Obstacle to roots between 40 and 60 cm depth (ROO=3),80,H_PHROO3_SQ3_100
20,1,Wheat,1,3,ROOTS,4,Rooting - Obstacle to roots between 20 and 40 cm depth (ROO=4),50,H_PHROO4_SQ3_100
21,1,Wheat,1,3,ROOTS,5,Rooting - Obstacle to roots between 0 and 80 cm depth (ROO=5),70,H_PHROO5_SQ3_100
22,1,Wheat,1,3,ROOTS,6,Rooting - Obstacle to roots between 0 and 20 cm depth (ROO=6),0,H_PHROO6_SQ3_100
23,1,Wheat,1,3,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ3_100
24,1,Wheat,1,3,IL,1,Impermeable layer - No impermeable within 150 cm (IL=1),100,H_PHIL1_SQ3_100
25,1,Wheat,1,3,IL,2,Impermeable layer - Impermeable between 80 and 150 cm (IL=2),100,H_PHIL2_SQ3_100
26,1,Wheat,1,3,IL,3,Impermeable layer - Impermeable between 40 and 80 cm (IL=3),80,H_PHIL3_SQ3_100
27,1,Wheat,1,3,IL,4,Impermeable layer - Impermeable within 40 cm (IL=4),30,H_PHIL4_SQ3_100
28,1,Wheat,1,4,PHASE,7,Phreatic,100,H_PH07_SQ4_100
29,1,Wheat,1,4,PHASE,13,Anthraquic,100,H_PH13_SQ4_100
30,1,Wheat,1,4,PHASE,16,Inundic,100,H_PH16_SQ4_100
31,1,Wheat,1,4,PHASE,17,Placic,100,H_PH17_SQ4_50
32,1,Wheat,1,4,PHASE,29,Excessively drained,100,H_PH29_SQ4_100
33,1,Wheat,1,4,PHASE,30,Flooded,100,H_PH30_SQ4_100
34,1,Wheat,1,4,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ4_100
35,1,Wheat,1,4,IL,1,Impermeable layer - No impermeable within 150 cm (IL=1),100,H_PHIL1_SQ4_100
36,1,Wheat,1,4,IL,2,Impermeable layer - Impermeable between 80 and 150 cm (IL=2),100,H_PHIL2_SQ4_100
37,1,Wheat,1,4,IL,3,Impermeable layer - Impermeable between 40 and 80 cm (IL=3),100,H_PHIL3_SQ4_100
38,1,Wheat,1,4,IL,4,Impermeable layer - Impermeable within 40 cm (IL=4),100,H_PHIL4_SQ4_100
39,1,Wheat,1,4,SWR,0,No information (WR=0),100,H_PHWR0_SQ4_100
40,1,Wheat,1,4,SWR,1,"Not wet within 80 cm for over 3 months, nor wet within 40 cm for over 1 month (WR=1)",100,H_PHWR1_SQ4_100
41,1,Wheat,1,4,SWR,2,"Wet within 80 cm for  3 to 6 months, but not wet within 40 cm for over 1 month (WR=2)",100,H_PHWR2_SQ4_100
42,1,Wheat,1,4,SWR,3,"Wet within 80 cm over 6 months, but not wet within 40 cm for over 11 month (WR=3)",100,H_PHWR3_SQ4_100
43,1,Wheat,1,4,SWR,4,Wet within 40 cm depth for over 11 month (WR=4),100,H_PHWR4_SQ4_100
44,1,Wheat,1,5,PHASE,10,Saline,20,H_PH10_SQ5_50
45,1,Wheat,1,5,PHASE,11,Sodic,35,H_PH11_SQ5_50
46,1,Wheat,1,5,PHASE,19,Salic,20,H_PH19_SQ5_50
47,1,Wheat,1,6,PHASE,4,Petrocalcic,50,H_PH04_SQ6_50
48,1,Wheat,1,7,PHASE,5,Petrogypsic,35,H_PH05_SQ6_50
49,1,Wheat,1,7,PHASE,1,Stony,75,H_PH01_SQ7_100
50,1,Wheat,1,7,PHASE,2,Lithic,75,H_PH02_SQ7_100
51,1,Wheat,1,7,PHASE,3,Petric,50,H_PH03_SQ7_50
52,1,Wheat,1,7,PHASE,4,Petrocalcic,50,H_PH04_SQ7_50
53,1,Wheat,1,7,PHASE,5,Petrogypsic,50,H_PH05_SQ7_50
54,1,Wheat,1,7,PHASE,6,Petroferric,50,H_PH06_SQ7_50
55,1,Wheat,1,7,PHASE,8,Fragipan,100,H_PH08_SQ7_50
56,1,Wheat,1,7,PHASE,9,Duripan,100,H_PH09_SQ7_50
57,1,Wheat,1,7,PHASE,17,Placic,100,H_PH17_SQ7_50
58,1,Wheat,1,7,PHASE,18,Rudic,75,H_PH18_SQ7_100
59,1,Wheat,1,7,PHASE,20,Skeletic,50,H_PH20_SQ7_50
60,1,Wheat,1,7,PHASE,23,Erosion,100,H_PH23_SQ7_100
61,1,Wheat,1,7,PHASE,24,No limitation to agricultural use,100,H_PH24_SQ7_100
62,1,Wheat,1,7,PHASE,25,Gravelly ,50,H_PH25_SQ7_50
63,1,Wheat,1,7,PHASE,26,Concretionary ,50,H_PH26_SQ7_50
64,1,Wheat,1,7,ROOTS,0,Rooting - No information (ROO= 0),100,H_PHROO0_SQ7_100
65,1,Wheat,1,7,ROOTS,1,Rooting - No obstacle  to roots between 0 and 80 cm (ROO=1),100,H_PHROO1_SQ7_100
66,1,Wheat,1,7,ROOTS,2,Rooting - Obstacle to roots between 60 and 80 cm depth (ROO=2),100,H_PHROO2_SQ7_100
67,1,Wheat,1,7,ROOTS,3,Rooting - Obstacle to roots between 40 and 60 cm depth (ROO=3),100,H_PHROO3_SQ7_100
68,1,Wheat,1,7,ROOTS,4,Rooting - Obstacle to roots between 20 and 40 cm depth (ROO=4),75,H_PHROO4_SQ7_100
69,1,Wheat,1,7,ROOTS,5,Rooting - Obstacle to roots between 0 and 80 cm depth (ROO=5),75,H_PHROO5_SQ7_100
70,1,Wheat,1,7,ROOTS,6,Rooting - Obstacle to roots between 0 and 20 cm depth (ROO=6),0,H_PHROO6_SQ7_100
71,1,Wheat,1,7,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ7_100
72,1,Wheat,1,7,IL,1,Impermeable layer - No impermeable within 150 cm (IL=1),100,H_PHIL1_SQ7_100
73,1,Wheat,1,7,IL,2,Impermeable layer - Impermeable between 80 and 150 cm (IL=2),100,H_PHIL2_SQ7_100
74,1,Wheat,1,7,IL,3,Impermeable layer - Impermeable between 40 and 80 cm (IL=3),100,H_PHIL3_SQ7_100
75,1,Wheat,1,7,IL,4,Impermeable layer - Impermeable within 40 cm (IL=4),75,H_PHIL4_SQ7_100
76,2,Wetland_Rice,1,3,PHASE,1,Stony,75,H_PH01_SQ3_100
77,2,Wetland_Rice,1,3,PHASE,2,Lithic,50,H_PH02_SQ3_100
78,2,Wetland_Rice,1,3,PHASE,3,Petric,60,H_PH03_SQ3_50
79,2,Wetland_Rice,1,3,PHASE,4,Petrocalcic,60,H_PH04_SQ3_50
80,2,Wetland_Rice,1,3,PHASE,5,Petrogypsic,60,H_PH05_SQ3_50
81,2,Wetland_Rice,1,3,PHASE,6,Petroferric,60,H_PH06_SQ3_50
82,2,Wetland_Rice,1,3,PHASE,8,Fragipan,100,H_PH08_SQ3_50
83,2,Wetland_Rice,1,3,PHASE,9,Duripan,100,H_PH09_SQ3_50
84,2,Wetland_Rice,1,3,PHASE,13,Anthraquic,100,H_PH13_SQ3_100
85,2,Wetland_Rice,1,3,PHASE,17,Placic,100,H_PH17_SQ3_50
86,2,Wetland_Rice,1,3,PHASE,18,Rudic,75,H_PH18_SQ3_100
87,2,Wetland_Rice,1,3,PHASE,20,Skeletic,60,H_PH20_SQ3_50
88,2,Wetland_Rice,1,3,PHASE,23,Erosion,100,H_PH23_SQ3_100
89,2,Wetland_Rice,1,3,PHASE,25,Gravelly ,60,H_PH25_SQ3_50
90,2,Wetland_Rice,1,3,PHASE,26,Concretionary ,60,H_PH26_SQ3_50
91,2,Wetland_Rice,1,3,ROOTS,0,Rooting - No information (ROO= 0),100,H_PHROO0_SQ3_100
92,2,Wetland_Rice,1,3,ROOTS,1,Rooting - No obstacle  to roots between 0 and 80 cm (ROO=1),100,H_PHROO1_SQ3_100
93,2,Wetland_Rice,1,3,ROOTS,2,Rooting - Obstacle to roots between 60 and 80 cm depth (ROO=2),70,H_PHROO2_SQ3_100
94,2,Wetland_Rice,1,3,ROOTS,3,Rooting - Obstacle to roots between 40 and 60 cm depth (ROO=3),60,H_PHROO3_SQ3_100
95,2,Wetland_Rice,1,3,ROOTS,4,Rooting - Obstacle to roots between 20 and 40 cm depth (ROO=4),40,H_PHROO4_SQ3_100
96,2,Wetland_Rice,1,3,ROOTS,5,Rooting - Obstacle to roots between 0 and 80 cm depth (ROO=5),50,H_PHROO5_SQ3_100
97,2,Wetland_Rice,1,3,ROOTS,6,Rooting - Obstacle to roots between 0 and 20 cm depth (ROO=6),0,H_PHROO6_SQ3_100
98,2,Wetland_Rice,1,3,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ3_100
99,2,Wetland_Rice,1,3,IL,1,Impermeable layer - No impermeable within 150 cm (IL=1),100,H_PHIL1_SQ3_100
100,2,Wetland_Rice,1,3,IL,2,Impermeable layer - Impermeable between 80 and 150 cm (IL=2),100,H_PHIL2_SQ3_100
101,2,Wetland_Rice,1,3,IL,3,Impermeable layer - Impermeable between 40 and 80 cm (IL=3),60,H_PHIL3_SQ3_100
102,2,Wetland_Rice,1,3,IL,4,Impermeable layer - Impermeable within 40 cm (IL=4),30,H_PHIL4_SQ3_100
103,2,Wetland_Rice,1,4,PHASE,7,Phreatic,100,H_PH07_SQ4_100
104,2,Wetland_Rice,1,4,PHASE,13,Anthraquic,100,H_PH13_SQ4_100
105,2,Wetland_Rice,1,4,PHASE,16,Inundic,100,H_PH16_SQ4_100
106,2,Wetland_Rice,1,4,PHASE,17,Placic,100,H_PH17_SQ4_50
107,2,Wetland_Rice,1,4,PHASE,29,Excessively drained,0,H_PH29_SQ4_100
108,2,Wetland_Rice,1,4,PHASE,30,Flooded,100,H_PH30_SQ4_100
109,2,Wetland_Rice,1,4,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ4_100
110,2,Wetland_Rice,1,4,IL,1,Impermeable layer - No impermeable within 150 cm (IL=1),100,H_PHIL1_SQ4_100
111,2,Wetland_Rice,1,4,IL,2,Impermeable layer - Impermeable between 80 and 150 cm (IL=2),100,H_PHIL2_SQ4_100
112,2,Wetland_Rice,1,4,IL,3,Impermeable layer - Impermeable between 40 and 80 cm (IL=3),100,H_PHIL3_SQ4_100
113,2,Wetland_Rice,1,4,IL,4,Impermeable layer - Impermeable within 40 cm (IL=4),100,H_PHIL4_SQ4_100
114,2,Wetland_Rice,1,4,SWR,0,No information (WR=0),100,H_PHWR0_SQ4_100
115,2,Wetland_Rice,1,4,SWR,1,"Not wet within 80 cm for over 3 months, nor wet within 40 cm for over 1 month (WR=1)",100,H_PHWR1_SQ4_100
116,2,Wetland_Rice,1,4,SWR,2,"Wet within 80 cm for  3 to 6 months, but not wet within 40 cm for over 1 month (WR=2)",100,H_PHWR2_SQ4_100
117,2,Wetland_Rice,1,4,SWR,3,"Wet within 80 cm over 6 months, but not wet within 40 cm for over 11 month (WR=3)",100,H_PHWR3_SQ4_100
118,2,Wetland_Rice,1,4,SWR,4,Wet within 40 cm depth for over 11 month (WR=4),100,H_PHWR4_SQ4_100
119,2,Wetland_Rice,1,5,PHASE,10,Saline,20,H_PH10_SQ5_50
120,2,Wetland_Rice,1,5,PHASE,11,Sodic,35,H_PH11_SQ5_50
121,2,Wetland_Rice,1,5,PHASE,19,Salic,20,H_PH19_SQ5_50
122,2,Wetland_Rice,1,6,PHASE,4,Petrocalcic,50,H_PH04_SQ6_50
123,2,Wetland_Rice,1,7,PHASE,5,Petrogypsic,35,H_PH05_SQ6_50
124,2,Wetland_Rice,1,7,PHASE,1,Stony,30,H_PH01_SQ7_100
125,2,Wetland_Rice,1,7,PHASE,2,Lithic,10,H_PH02_SQ7_100
126,2,Wetland_Rice,1,7,PHASE,3,Petric,20,H_PH03_SQ7_50
127,2,Wetland_Rice,1,7,PHASE,4,Petrocalcic,20,H_PH04_SQ7_50
128,2,Wetland_Rice,1,7,PHASE,5,Petrogypsic,20,H_PH05_SQ7_50
129,2,Wetland_Rice,1,7,PHASE,6,Petroferric,20,H_PH06_SQ7_50
130,2,Wetland_Rice,1,7,PHASE,8,Fragipan,100,H_PH08_SQ7_50
131,2,Wetland_Rice,1,7,PHASE,9,Duripan,100,H_PH09_SQ7_50
132,2,Wetland_Rice,1,7,PHASE,17,Placic,100,H_PH17_SQ7_50
133,2,Wetland_Rice,1,7,PHASE,18,Rudic,30,H_PH18_SQ7_100
134,2,Wetland_Rice,1,7,PHASE,20,Skeletic,20,H_PH20_SQ7_50
135,2,Wetland_Rice,1,7,PHASE,23,Erosion,100,H_PH23_SQ7_100
136,2,Wetland_Rice,1,7,PHASE,24,No limitation to agricultural use,100,H_PH24_SQ7_100
137,2,Wetland_Rice,1,7,PHASE,25,Gravelly ,20,H_PH25_SQ7_50
138,2,Wetland_Rice,1,7,PHASE,26,Concretionary ,20,H_PH26_SQ7_50
139,2,Wetland_Rice,1,7,ROOTS,0,Rooting - No information (ROO= 0),100,H_PHROO0_SQ7_100
140,2,Wetland_Rice,1,7,ROOTS,1,Rooting - No obstacle  to roots between 0 and 80 cm (ROO=1),100,H_PHROO1_SQ7_100
141,2,Wetland_Rice,1,7,ROOTS,2,Rooting - Obstacle to roots between 60 and 80 cm depth (ROO=2),100,H_PHROO2_SQ7_100
142,2,Wetland_Rice,1,7,ROOTS,3,Rooting - Obstacle to roots between 40 and 60 cm depth (ROO=3),100,H_PHROO3_SQ7_100
143,2,Wetland_Rice,1,7,ROOTS,4,Rooting - Obstacle to roots between 20 and 40 cm depth (ROO=4),10,H_PHROO4_SQ7_100
144,2,Wetland_Rice,1,7,ROOTS,5,Rooting - Obstacle to roots between 0 and 80 cm depth (ROO=5),10,H_PHROO5_SQ7_100
145,2,Wetland_Rice,1,7,ROOTS,6,Rooting - Obstacle to roots between 0 and 20 cm depth (ROO=6),0,H_PHROO6_SQ7_100
146,2,Wetland_Rice,1,7,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ7_100
147,2,Wetland_Rice,1,7,IL,1,Impermeable layer - No impermeable within 150 cm (IL=1),100,H_PHIL1_SQ7_100
148,2,Wetland_Rice,1,7,IL,2,Impermeable layer - Impermeable between 80 and 150 cm (IL=2),100,H_PHIL2_SQ7_100
149,2,Wetland_Rice,1,7,IL,3,Impermeable layer - Impermeable between 40 and 80 cm (IL=3),100,H_PHIL3_SQ7_100
150,2,Wetland_Rice,1,7,IL,4,Impermeable layer - Impermeable within 40 cm (IL=4),10,H_PHIL4_SQ7_100
151,3,Dryland_Rice,1,3,PHASE,1,Stony,75,H_PH01_SQ3_100
152,3,Dryland_Rice,1,3,PHASE,2,Lithic,50,H_PH02_SQ3_100
153,3,Dryland_Rice,1,3,PHASE,3,Petric,60,H_PH03_SQ3_50
154,3,Dryland_Rice,1,3,PHASE,4,Petrocalcic,60,H_PH04_SQ3_50
155,3,Dryland_Rice,1,3,PHASE,5,Petrogypsic,60,H_PH05_SQ3_50
156,3,Dryland_Rice,1,3,PHASE,6,Petroferric,60,H_PH06_SQ3_50
157,3,Dryland_Rice,1,3,PHASE,8,Fragipan,70,H_PH08_SQ3_50
158,3,Dryland_Rice,1,3,PHASE,9,Duripan,70,H_PH09_SQ3_50
159,3,Dryland_Rice,1,3,PHASE,13,Anthraquic,70,H_PH13_SQ3_100
160,3,Dryland_Rice,1,3,PHASE,17,Placic,70,H_PH17_SQ3_50
161,3,Dryland_Rice,1,3,PHASE,18,Rudic,75,H_PH18_SQ3_100
162,3,Dryland_Rice,1,3,PHASE,20,Skeletic,60,H_PH20_SQ3_50
163,3,Dryland_Rice,1,3,PHASE,23,Erosion,100,H_PH23_SQ3_100
164,3,Dryland_Rice,1,3,PHASE,25,Gravelly ,60,H_PH25_SQ3_50
165,3,Dryland_Rice,1,3,PHASE,26,Concretionary ,60,H_PH26_SQ3_50
166,3,Dryland_Rice,1,3,ROOTS,0,Rooting - No information (ROO= 0),100,H_PHROO0_SQ3_100
167,3,Dryland_Rice,1,3,ROOTS,1,Rooting - No obstacle  to roots between 0 and 80 cm (ROO=1),100,H_PHROO1_SQ3_100
168,3,Dryland_Rice,1,3,ROOTS,2,Rooting - Obstacle to roots between 60 and 80 cm depth (ROO=2),70,H_PHROO2_SQ3_100
169,3,Dryland_Rice,1,3,ROOTS,3,Rooting - Obstacle to roots between 40 and 60 cm depth (ROO=3),60,H_PHROO3_SQ3_100
170,3,Dryland_Rice,1,3,ROOTS,4,Rooting - Obstacle to roots between 20 and 40 cm depth (ROO=4),40,H_PHROO4_SQ3_100
171,3,Dryland_Rice,1,3,ROOTS,5,Rooting - Obstacle to roots between 0 and 80 cm depth (ROO=5),50,H_PHROO5_SQ3_100
172,3,Dryland_Rice,1,3,ROOTS,6,Rooting - Obstacle to roots between 0 and 20 cm depth (ROO=6),0,H_PHROO6_SQ3_100
173,3,Dryland_Rice,1,3,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ3_100
174,3,Dryland_Rice,1,3,IL,1,Impermeable layer - No impermeable within 150 cm (IL=1),100,H_PHIL1_SQ3_100
