"id","CROP_ID","CROP","input_level","SQI_code","score","property_value","property","unit","property_id","property_text"
1,"1","Wheat",4,1,100,1.5,"oc","% weight","CR_OC100","Organic Carbon"
2,"1","Wheat",4,2,100,1.5,"oc","% weight","CR_OC100","Organic Carbon"
3,"1","Wheat",3,1,100,6.5,"ph","-log(H+)","CR_LI_II_LPH100","pH "
4,"1","Wheat",3,2,100,6.5,"ph","-log(H+)","CR_LI_II_LPH100","pH "
5,"1","Wheat",5,2,100,6,"ph","-log(H+)","CR_HI_LPH100","pH "
6,"1","Wheat",3,2,100,7.5,"ph","-log(H+)","CR_LI_II_HPH100","pH "
7,"1","Wheat",5,2,100,7.5,"ph","-log(H+)","CR_HI_HPH100","pH "
8,"1","Wheat",3,1,100,8,"teb","cmol/kg","CR_LI_II_TEB100","Total Exchangeable Basis"
9,"1","Wheat",5,2,100,5,"teb","cmol/kg","CR_HI_TEB100","Total Exchangeable Basis"
10,"1","Wheat",3,2,100,24,"cecc","cmol/kg","CR_LI_II_CEC100","Cation Exchange Capacity - Clay"
11,"1","Wheat",5,2,100,16,"cecc","cmol/kg","CR_HI_CEC100","Cation Exchange Capacity - Clay"
12,"1","Wheat",3,2,100,80,"bs","%","CR_LI_II_BS100","Base Saturation "
13,"1","Wheat",5,2,100,50,"bs","%","CR_HI_BS100","Base Saturation "
14,"1","Wheat",4,3,100,90,"rd","cm","CR_RDa100","Rooting/Soil Depth"
15,"1","Wheat",5,7,100,90,"rd","cm","CR_RDa100","Rooting/Soil Depth"
16,"1","Wheat",3,7,100,70,"rd","cm","CR_RDb100","Rooting/Soil Depth"
17,"1","Wheat",4,3,100,15,"cf","%","CR_CF100","Coarse Fragments"
18,"1","Wheat",4,7,100,15,"cf","%","CR_CF100","Coarse Fragments"
19,"1","Wheat",4,7,100,15,"cf","%","CR_CF100","Coarse Fragments"
20,"1","Wheat",4,3,100,110,"db","%","CR_BDR100","Bulk Density (BDactual/BDref)"
21,"1","Wheat",3,7,100,110,"db","%","CR_LI_II_BDW100","Bulk Density (BDactual/BDref)"
22,"1","Wheat",5,7,100,110,"db","%","CR_HI_BDW100","Bulk Density (BDactual/BDref)"
23,"1","Wheat",4,5,100,1,"ec","dS/m","CR_EC100","Electric Conductivity"
